sale_id,product_name,category,customer_id,sale_date,amount
1,Sofa,Accessories,115,2025-03-17,399.33
2,Tablet,Electronics,112,2025-03-10,1947.22
3,Sofa,Furniture,111,2025-03-11,1696.68
4,Chair,Electronics,138,2025-02-27,313.92
5,Mouse,Electronics,149,2025-03-08,1979.28
6,Phone,Furniture,132,2025-01-15,1697.3
7,Table,Electronics,145,2025-01-22,304.82
8,Sofa,Furniture,108,2025-01-23,1554.34
9,Table,Furniture,105,2025-03-17,971.76
10,Tablet,Electronics,123,2025-01-12,1810.99
11,Mouse,Accessories,136,2025-03-30,131.46
12,Monitor,Accessories,134,2025-03-22,1025.8
13,Monitor,Furniture,141,2025-02-05,1204.92
14,Phone,Furniture,112,2025-02-07,1882.53
15,Monitor,Electronics,125,2025-03-01,1403.26
16,Tablet,Electronics,110,2025-02-01,1283.16
17,Monitor,Furniture,121,2025-02-08,942.97
18,Monitor,Electronics,128,2025-03-18,1466.79
19,Sofa,Accessories,146,2025-03-24,1186.47
20,Laptop,Accessories,129,2025-02-02,897.35
21,Keyboard,Electronics,121,2025-03-19,1307.21
22,Sofa,Furniture,138,2025-03-23,355.3
23,Tablet,Electronics,109,2025-02-11,1728.33
24,Keyboard,Furniture,148,2025-01-30,1574.05
25,Monitor,Electronics,135,2025-01-10,1481.06
26,Table,Furniture,127,2025-03-06,537.14
27,Mouse,Furniture,133,2025-01-01,521.4
28,Mouse,Accessories,150,2025-02-19,1146.91
29,Headphones,Electronics,136,2025-01-20,395.9
30,Mouse,Electronics,139,2025-02-24,1668.04
31,Keyboard,Electronics,143,2025-01-11,1466.33
32,Phone,Electronics,133,2025-03-01,272.16
33,Monitor,Furniture,113,2025-03-18,837.12
34,Headphones,Accessories,137,2025-03-25,231.87
35,Mouse,Accessories,125,2025-02-04,152.59
36,Table,Accessories,111,2025-01-06,271.6
37,Table,Furniture,111,2025-01-19,477.21
38,Sofa,Furniture,141,2025-02-04,798.01
39,Tablet,Electronics,114,2025-03-24,1954.56
40,Mouse,Electronics,103,2025-03-10,134.54
41,Mouse,Accessories,130,2025-02-18,1108.17
42,Headphones,Furniture,115,2025-02-06,1323.08
43,Keyboard,Accessories,127,2025-01-13,1365.01
44,Table,Electronics,123,2025-01-22,228.94
45,Sofa,Electronics,125,2025-03-19,670.15
46,Chair,Accessories,127,2025-03-07,334.42
47,Table,Furniture,102,2025-01-17,471.48
48,Monitor,Electronics,136,2025-01-11,1780.99
49,Chair,Furniture,122,2025-03-02,292.77
50,Headphones,Furniture,131,2025-02-09,799.06
51,Chair,Furniture,137,2025-01-18,1283.1
52,Mouse,Accessories,135,2025-03-19,1752.14
53,Keyboard,Accessories,131,2025-01-17,1670.62
54,Table,Furniture,131,2025-03-15,1489.17
55,Keyboard,Furniture,109,2025-03-14,1292.58
56,Chair,Accessories,105,2025-02-22,904.4
57,Laptop,Electronics,111,2025-01-15,1373.69
58,Laptop,Furniture,120,2025-02-26,102.5
59,Chair,Accessories,148,2025-03-31,1936.24
60,Monitor,Furniture,117,2025-03-11,836.31
61,Sofa,Electronics,114,2025-03-26,1124.5
62,Sofa,Furniture,117,2025-03-30,329.25
63,Headphones,Furniture,150,2025-01-03,913.49
64,Headphones,Accessories,119,2025-03-08,761.27
65,Sofa,Furniture,149,2025-01-31,1610.54
66,Phone,Accessories,105,2025-03-13,1300.55
67,Keyboard,Accessories,139,2025-03-15,132.78
68,Monitor,Electronics,141,2025-02-02,1970.19
69,Monitor,Electronics,141,2025-01-04,970.43
70,Chair,Accessories,129,2025-02-24,999.57
71,Phone,Furniture,124,2025-01-14,1018.59
72,Sofa,Electronics,147,2025-01-22,1241.41
73,Chair,Electronics,127,2025-03-17,1050.64
74,Sofa,Accessories,128,2025-01-15,613.99
75,Headphones,Furniture,110,2025-01-24,794.13
76,Monitor,Electronics,124,2025-01-09,1607.66
77,Tablet,Furniture,147,2025-02-20,1168.6
78,Chair,Accessories,116,2025-02-18,524.65
79,Monitor,Accessories,105,2025-01-29,1321.73
80,Monitor,Furniture,111,2025-01-14,548.28
81,Table,Electronics,146,2025-02-01,437.85
82,Sofa,Accessories,126,2025-01-13,1625.78
83,Chair,Electronics,116,2025-02-07,1038.46
84,Phone,Electronics,148,2025-02-04,204.34
85,Monitor,Accessories,144,2025-01-07,801.09
86,Keyboard,Furniture,143,2025-02-17,811.9
87,Tablet,Electronics,141,2025-02-03,1685.12
88,Chair,Accessories,117,2025-02-08,123.35
89,Keyboard,Electronics,113,2025-01-26,1841.37
90,Mouse,Accessories,105,2025-01-10,335.7
91,Table,Furniture,111,2025-03-09,1579.02
92,Chair,Electronics,139,2025-03-19,1359.28
93,Keyboard,Furniture,103,2025-03-22,454.66
94,Phone,Electronics,135,2025-01-05,1027.07
95,Sofa,Accessories,126,2025-03-20,129.46
96,Laptop,Accessories,140,2025-01-25,1216.39
97,Monitor,Electronics,149,2025-03-13,695.42
98,Headphones,Electronics,142,2025-02-14,1118.68
99,Monitor,Accessories,139,2025-03-15,1494.39
100,Headphones,Accessories,137,2025-03-07,1841.14
